Entry	Entry Name	Protein names	Gene Names	GO
P00748	FA12_HUMAN	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]	F12	innate immune response [GO:0045087]
P00734	THRB_HUMAN	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	proteolysis [GO:0006508]
P12259	FA5_HUMAN	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	blood coagulation [GO:0007596]
P00740	FA9_HUMAN	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	F9	proteolysis [GO:0006508]
Q9BWQ8	LFG2_HUMAN	Protein lifeguard 2 (Fas apoptotic inhibitory molecule 2) (Neural membrane protein 35) (Transmembrane BAX inhibitor motif-containing protein 2)	FAIM2 KIAA0950 LFG LFG2 NMP35 TMBIM2	negative regulation of apoptotic process [GO:0043066]
Q92520	FAM3C_HUMAN	Protein FAM3C (Interleukin-like EMT inducer)	FAM3C ILEI GS3786	other
Q9NYQ8	FAT2_HUMAN	Protocadherin Fat 2 (hFat2) (Cadherin family member 8) (Multiple epidermal growth factor-like domains protein 1) (Multiple EGF-like domains protein 1)	FAT2 CDHF8 KIAA0811 MEGF1	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
B1AHL2	B1AHL2_HUMAN	Fibulin-1	FBLN1	extracellular matrix organization [GO:0030198]
P23142	FBLN1_HUMAN	Fibulin-1 (FIBL-1)	FBLN1 PP213	positive regulation of gene expression [GO:0010628]
P98095	FBLN2_HUMAN	Fibulin-2 (FIBL-2)	FBLN2	other
Q9UBX5	FBLN5_HUMAN	Fibulin-5 (FIBL-5) (Developmental arteries and neural crest EGF-like protein) (Dance) (Urine p50 protein) (UP50)	FBLN5 DANCE UNQ184/PRO210	cell-matrix adhesion [GO:0007160]
Q53RD9	FBLN7_HUMAN	Fibulin-7 (FIBL-7)	FBLN7 TM14	cell adhesion [GO:0007155]
Q9Y6R7	FCGBP_HUMAN	IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP)	FCGBP	other
P08637	FCG3A_HUMAN	Low affinity immunoglobulin gamma Fc region receptor III-A (IgG Fc receptor III-A) (CD16-II) (CD16a antigen) (Fc-gamma RIII-alpha) (Fc-gamma RIII) (Fc-gamma RIIIa) (FcRIII) (FcRIIIa) (FcgammaRIIIA) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)	FCGR3A CD16A FCG3 FCGR3 IGFR3	immune response [GO:0006955]
Q9UGM5	FETUB_HUMAN	Fetuin-B (16G2) (Fetuin-like protein IRL685) (Gugu)	FETUB	other
P02671	FIBA_HUMAN	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	FGA	adaptive immune response [GO:0002250]
P02675	FIBB_HUMAN	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	FGB	adaptive immune response [GO:0002250]
P11362	FGFR1_HUMAN	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	cell migration [GO:0016477]
P21802	FGFR2_HUMAN	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM	angiogenesis [GO:0001525]
P02679	FIBG_HUMAN	Fibrinogen gamma chain	FGG PRO2061	cell-matrix adhesion [GO:0007160]
Q06828	FMOD_HUMAN	Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin)	FMOD FM SLRR2E	other
P02751	FINC_HUMAN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN	cell adhesion [GO:0007155]
Q9P0K9	FRS1L_HUMAN	DOMON domain-containing protein FRRS1L (Brain protein CG-6) (Ferric-chelate reductase 1-like protein)	FRRS1L C9orf4	other
Q12841	FSTL1_HUMAN	Follistatin-related protein 1 (Follistatin-like protein 1)	FSTL1 FRP	negative regulation of apoptotic process [GO:0043066]
Q6MZW2	FSTL4_HUMAN	Follistatin-related protein 4 (Follistatin-like protein 4)	FSTL4 KIAA1061	cell differentiation [GO:0030154]
P02792	FRIL_HUMAN	Ferritin light chain (Ferritin L subunit)	FTL	other
P04066	FUCO_HUMAN	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	FUCA1 Nbla10230	other
Q9BTY2	FUCO2_HUMAN	Plasma alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase 2) (Alpha-L-fucosidase 2)	FUCA2 PSEC0151 UNQ227/PRO260	other
Q495W5	FUT11_HUMAN	Alpha-(1,3)-fucosyltransferase 11 (EC 2.4.1.-) (Fucosyltransferase XI) (Fuc-TXI) (FucT-XI) (Galactoside 3-L-fucosyltransferase 11) (Fucosyltransferase 11)	FUT11	other
Q10471	GALT2_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2) (GalNAc-T2) (pp-GaNTase 2) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 2 soluble form]	GALNT2	other
H0YAH3	H0YAH3_HUMAN	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	GALNT7	other
Q14697	GANAB_HUMAN	Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	GANAB G2AN KIAA0088	carbohydrate metabolic process [GO:0005975]
P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	protein stabilization [GO:0050821]
Q14393	GAS6_HUMAN	Growth arrest-specific protein 6 (GAS-6) (AXL receptor tyrosine kinase ligand)	GAS6 AXLLG	signal transduction [GO:0007165]
P02774	VTDB_HUMAN	Vitamin D-binding protein (DBP) (VDB) (Gc protein-derived macrophage activating factor) (Gc-MAF) (GcMAF) (Gc-globulin) (Group-specific component) (Gc) (Vitamin D-binding protein-macrophage activating factor) (DBP-maf)	GC	other
Q9Y2T3	GUAD_HUMAN	Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH) (p51-nedasin)	GDA KIAA1258	nervous system development [GO:0007399]
P50395	GDIB_HUMAN	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	GDI2 RABGDIB	signal transduction [GO:0007165]
Q92820	GGH_HUMAN	Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)	GGH	other
Q6ZMI3	GLDN_HUMAN	Gliomedin [Cleaved into: Gliomedin shedded ectodomain]	GLDN COLM UNQ9339/PRO34011	signal transduction [GO:0007165]
Q9HC38	GLOD4_HUMAN	Glyoxalase domain-containing protein 4	GLOD4 C17orf25 CGI-150 My027	other
P17900	SAP3_HUMAN	Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3) [Cleaved into: Ganglioside GM2 activator isoform short]	GM2A	other
Q9UJJ9	GNPTG_HUMAN	N-acetylglucosamine-1-phosphotransferase subunit gamma (GlcNAc-1-phosphotransferase subunit gamma) (UDP-N-acetylglucosamine-1-phosphotransferase subunit gamma)	GNPTG C16orf27 GNPTAG CAB56184 LP2537	other
Q8NBJ4	GOLM1_HUMAN	Golgi membrane protein 1 (Golgi membrane protein GP73) (Golgi phosphoprotein 2)	GOLM1 C9orf155 GOLPH2 PSEC0242 UNQ686/PRO1326	other
P17174	AATC_HUMAN	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	GOT1	other
P35052	GPC1_HUMAN	Glypican-1 [Cleaved into: Secreted glypican-1]	GPC1	cell migration [GO:0016477]
P80108	PHLD_HUMAN	Phosphatidylinositol-glycan-specific phospholipase D (PI-G PLD) (EC 3.1.4.50) (Glycoprotein phospholipase D) (Glycosyl-phosphatidylinositol-specific phospholipase D) (GPI-PLD) (GPI-specific phospholipase D)	GPLD1 PIGPLD1	negative regulation of cell population proliferation [GO:0008285]
O60883	G37L1_HUMAN	G-protein coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)	GPR37L1 ETBRLP2	positive regulation of MAPK cascade [GO:0043410]
P22352	GPX3_HUMAN	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	GPX3 GPXP	other
P48058	GRIA4_HUMAN	Glutamate receptor 4 (GluR-4) (GluR4) (AMPA-selective glutamate receptor 4) (GluR-D) (Glutamate receptor ionotropic, AMPA 4)	GRIA4 GluA4 GLUR4	other
P06396	GELS_HUMAN	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	central nervous system development [GO:0007417]
P48637	GSHB_HUMAN	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	GSS	nervous system development [GO:0007399]
P78417	GSTO1_HUMAN	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	other
P09211	GSTP1_HUMAN	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	central nervous system development [GO:0007417]
P62805	H4_HUMAN	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4	other
Q14520	HABP2_HUMAN	Hyaluronan-binding protein 2 (EC 3.4.21.-) (Factor VII-activating protease) (Factor seven-activating protease) (FSAP) (Hepatocyte growth factor activator-like protein) (Plasma hyaluronan-binding protein) [Cleaved into: Hyaluronan-binding protein 2 50 kDa heavy chain; Hyaluronan-binding protein 2 50 kDa heavy chain alternate form; Hyaluronan-binding protein 2 27 kDa light chain; Hyaluronan-binding protein 2 27 kDa light chain alternate form]	HABP2 HGFAL PHBP	cell adhesion [GO:0007155]
P69905	HBA_HUMAN	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin]	HBA1; HBA2	other
P68871	HBB_HUMAN	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	HBB	other
P02042	HBD_HUMAN	Hemoglobin subunit delta (Delta-globin) (Hemoglobin delta chain)	HBD	other
P06865	HEXA_HUMAN	Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)	HEXA	skeletal system development [GO:0001501]
P07686	HEXB_HUMAN	Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A]	HEXB HCC7	positive regulation of transcription by RNA polymerase II [GO:0045944]
Q04756	HGFA_HUMAN	Hepatocyte growth factor activator (HGF activator) (HGFA) (EC 3.4.21.-) [Cleaved into: Hepatocyte growth factor activator short chain; Hepatocyte growth factor activator long chain]	HGFAC	proteolysis [GO:0006508]
P00738	HPT_HUMAN	Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain]	HP	acute-phase response [GO:0006953]
P00739	HPTR_HUMAN	Haptoglobin-related protein	HPR	other
P02790	HEMO_HUMAN	Hemopexin (Beta-1B-glycoprotein)	HPX	other
P04196	HRG_HUMAN	Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG)	HRG	angiogenesis [GO:0001525]
Q8IZP7	H6ST3_HUMAN	Heparan-sulfate 6-O-sulfotransferase 3 (HS6ST-3) (EC 2.8.2.-)	HS6ST3	other
P14625	ENPL_HUMAN	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Heat shock protein family C member 4) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 HSPC4 TRA1	negative regulation of apoptotic process [GO:0043066]
P48723	HSP13_HUMAN	Heat shock 70 kDa protein 13 (Heat shock protein family A member 13) (Microsomal stress-70 protein ATPase core) (Stress-70 protein chaperone microsome-associated 60 kDa protein)	HSPA13 STCH	other
P11021	BIP_HUMAN	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	negative regulation of apoptotic process [GO:0043066]
P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	protein folding [GO:0006457]
P98160	PGBM_HUMAN	Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]	HSPG2	inflammatory response [GO:0006954]
Q92743	HTRA1_HUMAN	Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (L56) (Serine protease 11)	HTRA1 HTRA PRSS11	proteolysis [GO:0006508]
Q12794	HYAL1_HUMAN	Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1)	HYAL1 LUCA1	inflammatory response [GO:0006954]
Q9Y4L1	HYOU1_HUMAN	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170) (Heat shock protein family H member 4)	HYOU1 GRP170 HSPH4 ORP150	other
Q9UMF0	ICAM5_HUMAN	Intercellular adhesion molecule 5 (ICAM-5) (Telencephalin)	ICAM5 TLCN TLN	cell adhesion [GO:0007155]
O75144	ICOSL_HUMAN	ICOS ligand (B7 homolog 2) (B7-H2) (B7-like protein Gl50) (B7-related protein 1) (B7RP-1) (CD antigen CD275)	ICOSLG B7H2 B7RP1 ICOSL KIAA0653	adaptive immune response [GO:0002250]
P22304	IDS_HUMAN	Iduronate 2-sulfatase (EC 3.1.6.13) (Alpha-L-iduronate sulfate sulfatase) (Idursulfase) [Cleaved into: Iduronate 2-sulfatase 42 kDa chain; Iduronate 2-sulfatase 14 kDa chain]	IDS SIDS	other
P01344	IGF2_HUMAN	Insulin-like growth factor II (IGF-II) (Somatomedin-A) (T3M-11-derived growth factor) [Cleaved into: Insulin-like growth factor II; Insulin-like growth factor II Ala-25 Del; Preptin]	IGF2 PP1446	positive regulation of cell population proliferation [GO:0008284]
P35858	ALS_HUMAN	Insulin-like growth factor-binding protein complex acid labile subunit (ALS)	IGFALS ALS	cell adhesion [GO:0007155]
P18065	IBP2_HUMAN	Insulin-like growth factor-binding protein 2 (IBP-2) (IGF-binding protein 2) (IGFBP-2)	IGFBP2 BP2 IBP2	response to xenobiotic stimulus [GO:0009410]
P24592	IBP6_HUMAN	Insulin-like growth factor-binding protein 6 (IBP-6) (IGF-binding protein 6) (IGFBP-6)	IGFBP6 IBP6	signal transduction [GO:0007165]
Q16270	IBP7_HUMAN	Insulin-like growth factor-binding protein 7 (IBP-7) (IGF-binding protein 7) (IGFBP-7) (IGFBP-rP1) (MAC25 protein) (PGI2-stimulating factor) (Prostacyclin-stimulating factor) (Tumor-derived adhesion factor) (TAF)	IGFBP7 MAC25 PSF	cell adhesion [GO:0007155]
P01876	IGHA1_HUMAN	Immunoglobulin heavy constant alpha 1 (Ig alpha-1 chain C region) (Ig alpha-1 chain C region BUR) (Ig alpha-1 chain C region TRO)	IGHA1	immune response [GO:0006955]
P01877	IGHA2_HUMAN	Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN)	IGHA2	immune response [GO:0006955]
P01880	IGHD_HUMAN	Immunoglobulin heavy constant delta (Ig delta chain C region) (Ig delta chain C region NIG-65) (Ig delta chain C region WAH)	IGHD	immune response [GO:0006955]
P01857	IGHG1_HUMAN	Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE)	IGHG1	adaptive immune response [GO:0002250]
P01859	IGHG2_HUMAN	Immunoglobulin heavy constant gamma 2 (Ig gamma-2 chain C region) (Ig gamma-2 chain C region DOT) (Ig gamma-2 chain C region TIL) (Ig gamma-2 chain C region ZIE)	IGHG2	adaptive immune response [GO:0002250]
A0A9H3ZR93	A0A9H3ZR93_HUMAN	Immunoglobulin heavy constant gamma 3 (G3m marker)	IGHG3	adaptive immune response [GO:0002250]
P01861	IGHG4_HUMAN	Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region)	IGHG4	adaptive immune response [GO:0002250]
P01871	IGHM_HUMAN	Immunoglobulin heavy constant mu (Ig mu chain C region) (Ig mu chain C region BOT) (Ig mu chain C region GAL) (Ig mu chain C region OU)	IGHM	adaptive immune response [GO:0002250]
A0A0C4DH31	HV118_HUMAN	Immunoglobulin heavy variable 1-18	IGHV1-18	immunoglobulin mediated immune response [GO:0016064]
P23083	HV102_HUMAN	Immunoglobulin heavy variable 1-2 (Ig heavy chain V-I region ND) (Ig heavy chain V-I region V35)	IGHV1-2	immune response [GO:0006955]
P01742	HV169_HUMAN	Immunoglobulin heavy variable 1-69 (Ig heavy chain V-I region EU) (Ig heavy chain V-I region SIE) (Ig heavy chain V-I region WOL)	IGHV1-69	immune response [GO:0006955]
A0A0B4J1V2	HV226_HUMAN	Immunoglobulin heavy variable 2-26	IGHV2-26	immunoglobulin mediated immune response [GO:0016064]
P01817	HV205_HUMAN	Immunoglobulin heavy variable 2-5 (Ig heavy chain V-II region HE) (Ig heavy chain V-II region MCE)	IGHV2-5	immune response [GO:0006955]
A0A0C4DH43	HV70D_HUMAN	Immunoglobulin heavy variable 2-70D	IGHV2-70D	immunoglobulin mediated immune response [GO:0016064]
A0A0B4J1V0	HV315_HUMAN	Immunoglobulin heavy variable 3-15	IGHV3-15	immunoglobulin mediated immune response [GO:0016064]
A0A0C4DH36	HV338_HUMAN	Probable non-functional immunoglobulin heavy variable 3-38	IGHV3-38	immunoglobulin mediated immune response [GO:0016064]
A0A0A0MS15	HV349_HUMAN	Immunoglobulin heavy variable 3-49	IGHV3-49	immunoglobulin mediated immune response [GO:0016064]
A0A0J9YX35	HV64D_HUMAN	Immunoglobulin heavy variable 3-64D	IGHV3-64D	immunoglobulin mediated immune response [GO:0016064]
P01780	HV307_HUMAN	Immunoglobulin heavy variable 3-7 (Ig heavy chain V-III region GAL) (Ig heavy chain V-III region GAR) (Ig heavy chain V-III region JON)	IGHV3-7	immune response [GO:0006955]
A0A4W8ZXM2	A0A4W8ZXM2_HUMAN	Immunoglobulin heavy variable 3-72	IGHV3-72	adaptive immune response [GO:0002250]
A0A0B4J1V6	HV373_HUMAN	Immunoglobulin heavy variable 3-73	IGHV3-73	immunoglobulin mediated immune response [GO:0016064]
A0A0B4J1X5	HV374_HUMAN	Immunoglobulin heavy variable 3-74	IGHV3-74	immunoglobulin mediated immune response [GO:0016064]
A0A087WSY4	HV432_HUMAN	Immunoglobulin heavy variable 4-30-2	IGHV4-30-2	immunoglobulin mediated immune response [GO:0016064]
P06331	HV434_HUMAN	Immunoglobulin heavy variable 4-34 (Ig heavy chain V-II region ARH-77)	IGHV4-34	immune response [GO:0006955]
P01824	HV439_HUMAN	Immunoglobulin heavy variable 4-39 (Ig heavy chain V-II region WAH)	IGHV4-39	immune response [GO:0006955]
A0A0C4DH38	HV551_HUMAN	Immunoglobulin heavy variable 5-51	IGHV5-51	immunoglobulin mediated immune response [GO:0016064]
A0A0B4J1U7	HV601_HUMAN	Immunoglobulin heavy variable 6-1	IGHV6-1	immunoglobulin mediated immune response [GO:0016064]
P01834	IGKC_HUMAN	Immunoglobulin kappa constant (Ig kappa chain C region) (Ig kappa chain C region AG) (Ig kappa chain C region CUM) (Ig kappa chain C region EU) (Ig kappa chain C region OU) (Ig kappa chain C region ROY) (Ig kappa chain C region TI)	IGKC	immune response [GO:0006955]
A0A0A0MT89	KJ01_HUMAN	Immunoglobulin kappa joining 1	IGKJ1	adaptive immune response [GO:0002250]
A0A0A0MT96	A0A0A0MT96_HUMAN	Immunoglobulin kappa joining 3	IGKJ3	other
A0A0A0MTA3	A0A0A0MTA3_HUMAN	Immunoglobulin kappa joining 5	IGKJ5	other
A0A0C4DH73	KV112_HUMAN	Immunoglobulin kappa variable 1-12	IGKV1-12	immune response [GO:0006955]
A0A0C4DH73;P01611	KV112_HUMAN; KV112_HUMAN; KVD12_HUMAN; KVD12_HUMAN	Immunoglobulin kappa variable 1-12; Immunoglobulin kappa variable 1-12; Immunoglobulin kappa variable 1D-12 (Ig kappa chain V-I region Wes); Immunoglobulin kappa variable 1D-12 (Ig kappa chain V-I region Wes)	IGKV1-12; IGKV1-12; IGKV1D-12; IGKV1D-12	immune response [GO:0006955]
P04430	KV116_HUMAN	Immunoglobulin kappa variable 1-16 (Ig kappa chain V-I region BAN)	IGKV1-16	immune response [GO:0006955]
P01599	KV117_HUMAN	Immunoglobulin kappa variable 1-17 (Ig kappa chain V-I region Gal) (Ig kappa chain V-I region WEA)	IGKV1-17	immune response [GO:0006955]
A0A075B6S5	KV127_HUMAN	Immunoglobulin kappa variable 1-27	IGKV1-27	immune response [GO:0006955]
A0AAG2T928	A0AAG2T928_HUMAN	Immunoglobulin kappa variable 1-33	IGKV1-33	other
P01597	KV139_HUMAN	Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker)	IGKV1-39	immune response [GO:0006955]
P01597;P04432	KV139_HUMAN; KV139_HUMAN; KVD39_HUMAN; KVD39_HUMAN	Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker); Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker); Immunoglobulin kappa variable 1D-39 (Ig kappa chain V-I region Daudi); Immunoglobulin kappa variable 1D-39 (Ig kappa chain V-I region Daudi)	IGKV1-39; IGKV1-39; IGKV1D-39; IGKV1D-39	immune response [GO:0006955]
P01602	KV105_HUMAN	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)	IGKV1-5	immune response [GO:0006955]
A0A0C4DH67	KV108_HUMAN	Immunoglobulin kappa variable 1-8	IGKV1-8	immune response [GO:0006955]
P01611	KVD12_HUMAN	Immunoglobulin kappa variable 1D-12 (Ig kappa chain V-I region Wes)	IGKV1D-12	immune response [GO:0006955]
P04432	KVD39_HUMAN	Immunoglobulin kappa variable 1D-39 (Ig kappa chain V-I region Daudi)	IGKV1D-39	immune response [GO:0006955]
A0A087WSZ0	KVD08_HUMAN	Immunoglobulin kappa variable 1D-8	IGKV1D-8	immune response [GO:0006955]
A0A0C4DH68	KV224_HUMAN	Immunoglobulin kappa variable 2-24	IGKV2-24	immune response [GO:0006955]
A0A075B6P5	KV228_HUMAN	Immunoglobulin kappa variable 2-28	IGKV2-28	immune response [GO:0006955]
A0A075B6P5;P01615	KV228_HUMAN; KV228_HUMAN; KVD28_HUMAN; KVD28_HUMAN	Immunoglobulin kappa variable 2-28; Immunoglobulin kappa variable 2-28; Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW); Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW)	IGKV2-28; IGKV2-28; IGKV2D-28; IGKV2D-28	immune response [GO:0006955]
A0A087WW87	KV240_HUMAN	Immunoglobulin kappa variable 2-40	IGKV2-40	immune response [GO:0006955]
A0A087WW87;P01614	KV240_HUMAN; KV240_HUMAN; KVD40_HUMAN; KVD40_HUMAN	Immunoglobulin kappa variable 2-40; Immunoglobulin kappa variable 2-40; Immunoglobulin kappa variable 2D-40 (Ig kappa chain V-II region Cum); Immunoglobulin kappa variable 2D-40 (Ig kappa chain V-II region Cum)	IGKV2-40; IGKV2-40; IGKV2D-40; IGKV2D-40	immune response [GO:0006955]
A0A075B6R9	KVD24_HUMAN	Probable non-functional immunoglobulin kappa variable 2D-24	IGKV2D-24	immune response [GO:0006955]
A0A075B6R9;A0A0C4DH68	KVD24_HUMAN; KVD24_HUMAN; KV224_HUMAN; KV224_HUMAN	Probable non-functional immunoglobulin kappa variable 2D-24; Probable non-functional immunoglobulin kappa variable 2D-24; Immunoglobulin kappa variable 2-24; Immunoglobulin kappa variable 2-24	IGKV2D-24; IGKV2D-24; IGKV2-24; IGKV2-24	immune response [GO:0006955]
